,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
1121,Standard Schnauzer/Miniature Poodle,4.0,3.0,4.0,3.0,3.0,3.0,2.5,3.0,4.0,4.5,3.0,5.0
1122,Blue Lacy/Weimaraner,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0
1123,Bouv Flandres/Otterhound,2.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,2.0,3.0,4.0,4.0
1124,Mastiff/Bloodhound,2.0,2.5,1.0,4.5,3.0,4.5,2.5,2.5,2.0,1.0,4.0,4.5
1125,Pug/Cocker Spaniel,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
1126,Greyhound/Border Collie,3.5,4.0,3.5,3.0,3.0,1.5,2.5,2.5,4.0,2.0,3.5,3.0
1127,Australian Cattle Dog/Great Pyrenees,3.0,4.0,3.0,3.5,2.5,2.5,2.0,4.0,3.0,2.5,4.0,5.0
1128,American Staffordshire Terrier/French Bulldog,2.333333333,1.6666666669999999,3.333333333,3.666666667,1.6666666669999999,3.0,2.666666667,2.666666667,2.666666667,1.333333333,4.333333333,3.0
1129,Chihuahua Longhair/Yorkshire Terrier,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
1130,German Shepherd/Plott Hound,3.0,3.5,2.5,3.0,1.5,2.5,2.0,4.5,3.5,1.5,3.0,4.5
1131,Shih Tzu/Bruss Griffon,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1132,Norfolk Terrier/Chihuahua Shorthair,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
1133,Harrier/Pointer,4.0,4.0,3.5,3.5,4.5,3.5,3.5,2.0,2.5,1.0,3.0,4.5
1134,Wire Hair Fox Terrier/Miniature Schnauzer,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1135,Chow Chow/Pit Bull,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
1136,Lhasa Apso/Dachshund,3.5,2.0,3.0,3.0,2.5,2.5,1.0,1.5,1.5,3.0,3.5,5.0
1137,Black Mouth Cur/American Staffordshire Terrier,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0
1138,Pekingese/Maltese,2.5,1.0,2.5,2.5,3.0,3.5,1.5,1.0,2.0,4.0,4.5,5.0
1139,Alaskan Husky/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
1140,Boxer/Plott Hound,4.0,3.0,4.0,4.0,2.5,2.5,2.5,4.5,2.5,1.0,4.0,3.5
1141,Lowchen/Yorkshire Terrier,4.0,1.0,3.5,3.0,3.0,3.0,3.0,1.0,2.5,4.0,3.5,4.5
1144,Doberman Pinsch/Rottweiler,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
1145,American Bulldog/Dalmatian,2.5,2.0,3.5,5.0,2.0,3.5,3.5,2.5,2.5,2.0,4.0,2.5
1146,Flat Coat Retriever/Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
1147,Australian Shepherd/Jack Russell Terrier,4.5,4.5,5.0,3.5,2.5,2.0,2.5,3.0,4.0,3.0,3.0,5.0
1148,Black Mouth Cur/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1149,Pomeranian/Chihuahua Shorthair,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
1150,Labrador Retriever/Harrier,4.0,3.5,4.0,4.0,4.5,4.0,4.5,1.5,3.5,1.5,3.0,4.5
1151,German Shepherd/Redbone Hound,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
1152,Dachshund/Norfolk Terrier,4.0,2.5,3.0,2.0,3.0,2.5,2.0,1.5,2.0,2.5,3.0,5.0
1153,English Bulldog/Boxer,3.0,2.0,4.5,5.0,2.0,3.5,3.5,3.5,2.5,1.5,5.0,2.0
1154,Bichon Frise/Miniature Poodle,4.0,2.5,5.0,4.5,4.0,3.5,4.5,1.0,4.5,5.0,3.0,4.5
1156,Boston Terrier/Dachshund,3.5,1.5,3.0,3.0,3.0,3.0,2.0,1.5,2.5,1.5,4.0,5.0
1157,Pug/Chihuahua Longhair,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
1158,Rottweiler/Rhod Ridgeback,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
1159,Australian Shepherd/Cardigan Welsh Corgi,3.5,4.0,4.0,3.5,2.5,3.5,2.5,4.0,4.5,2.0,3.0,5.0
1160,Pekingese/Pomeranian,2.5,1.0,2.5,1.5,2.0,3.5,1.5,1.0,1.0,4.0,4.0,5.0
1161,Irish Wolfhound/Australian Shepherd,2.5,4.0,3.0,3.5,3.0,3.0,2.5,3.0,3.5,3.0,4.0,4.0
1162,Australian Cattle Dog/Pug,4.0,3.5,4.0,4.0,3.0,2.5,2.0,2.5,4.0,2.0,4.0,5.0
1163,American Eskimo/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1164,Miniature Poodle/Chihuahua Longhair,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
1165,Australian Cattle Dog/Collie Smooth,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1166,French Bulldog/Miniature Schnauzer,2.333333333,1.6666666669999999,3.666666667,4.0,2.333333333,3.666666667,2.666666667,1.333333333,2.333333333,2.0,4.333333333,3.0
1167,Cardigan Welsh Corgi/Pointer,3.5,3.5,3.5,3.5,3.0,4.0,3.0,3.5,3.5,1.0,3.0,4.5
1168,Maltese/Dalmatian,4.0,2.0,3.5,4.0,3.0,3.0,2.0,2.0,3.0,2.5,3.5,4.5
1169,Bull Terrier/Boxer,4.5,3.0,5.0,4.0,2.0,3.0,3.0,4.5,2.0,1.0,4.0,4.0
1170,Plott Hound/Whippet,3.0,3.0,3.0,3.5,3.5,3.0,2.5,2.5,2.5,1.0,3.0,4.0
1171,Dalmatian/Pit Bull,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
1172,Dutch Shepherd/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1173,Basset Hound/Boxer,3.5,2.5,3.5,4.5,3.0,3.0,3.0,3.0,2.5,1.5,4.0,3.0
1174,Queensland Heeler/Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
1175,Lhasa Apso/Jack Russell Terrier,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.5,2.0,3.5,3.5,5.0
1176,Whippet/Catahoula,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
1177,Yorkshire Terrier/Rat Terrier,4.0,2.0,4.5,3.5,2.5,2.5,2.5,1.5,3.0,2.5,3.0,5.0
1178,Dachshund Longhair/Miniature Schnauzer,3.5,2.5,3.5,3.5,3.0,2.5,2.0,1.5,2.5,2.5,3.0,5.0
1179,Basset Hound/Chinese Sharpei,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
1180,Chihuahua Longhair/Miniature Poodle,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
1181,Brittany/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1182,Shih Tzu/Chihuahua Longhair,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1183,Shih Tzu/Pit Bull,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1184,Labrador Retriever/Saluki,3.0,3.0,4.0,4.0,3.5,4.0,3.0,2.0,4.0,2.0,3.0,3.5
1185,German Shepherd/Akita,3.0,3.5,2.5,3.0,1.0,2.5,1.5,4.5,4.0,2.0,4.0,5.0
1186,Pit Bull/Beagle,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1187,Pug/Pekingese,2.0,1.5,2.5,3.0,3.0,3.5,2.0,1.0,2.0,3.5,5.0,5.0
1189,West Highland/Toy Fox Terrier,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0
1190,Jack Russell Terrier/Pointer,4.5,4.0,4.5,3.5,3.0,2.5,3.0,2.5,3.0,2.0,3.0,4.5
1191,Beagle/Harrier,3.5,3.5,3.5,4.0,5.0,4.0,4.5,1.0,1.5,1.0,3.0,4.5
1192,Chihuahua Shorthair/Shetland Sheepdog,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
1193,Border Collie/Rottweiler,4.0,4.0,3.0,2.5,2.0,1.5,1.5,4.0,4.0,2.0,3.5,4.5
1194,Staffordshire/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
1197,Miniature Pinscher/Pomeranian,4.5,1.5,4.5,2.0,1.5,2.0,1.0,1.0,1.0,2.0,3.0,5.0
1198,Pug/Pit Bull,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
1199,Cocker Spaniel/Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
1200,Greyhound/Pointer,3.0,3.5,3.5,3.5,3.5,3.0,3.0,2.5,3.0,1.0,3.5,3.0
1201,Plott Hound/Dachshund,3.5,2.5,3.0,3.0,2.5,2.0,1.5,3.0,2.0,1.5,3.0,4.5
1202,Whippet/Anatol Shepherd,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0
1203,Pembroke Welsh Corgi/Basset Hound,2.5,2.5,2.5,4.0,3.0,3.5,3.5,2.5,3.0,1.5,3.0,4.0
1204,Shiba Inu/Australian Kelpie,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0
1207,American Bulldog/Basset Hound,1.5,1.5,3.0,4.5,2.0,3.5,3.5,1.5,2.0,2.0,4.0,2.0
1208,Jack Russell Terrier/Pembroke Welsh Corgi,4.0,3.5,4.0,3.5,2.5,2.5,3.5,3.0,3.5,2.0,3.0,5.0
1209,Irish Wolfhound/Great Dane,1.5,2.5,1.5,3.5,2.5,2.5,3.5,2.5,2.5,2.0,4.5,3.5
1210,Queensland Heeler/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1211,Dachshund/Chinese Sharpei,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1212,Jack Russell Terrier/Whippet,4.0,3.5,4.0,3.5,3.5,2.5,3.0,1.5,3.0,2.0,3.0,4.5
1213,American Pit Bull Terrier/Pit Bull,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1214,Bull Terrier/Pit Bull,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1215,Flat Coat Retriever/Golden Retriever,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
1216,Vizsla/Labrador Retriever,3.5,3.0,4.5,5.0,3.5,4.5,5.0,1.5,4.0,1.5,3.0,4.0
1217,American Staffordshire Terrier/Australian Cattle Dog,4.0,4.0,3.5,3.5,2.0,1.5,2.5,4.5,4.5,1.5,3.0,5.0
1218,English Coonhound/Australian Cattle Dog,4.0,4.0,3.5,3.5,3.5,2.5,2.5,3.0,3.0,1.5,3.0,4.0
1219,Australian Shepherd/Standard Poodle,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
1220,Basenji/Labrador Retriever,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1.5,3.5,1.5,3.0,4.5
1222,Labrador Retriever/Bullmastiff,2.5,2.5,3.0,4.0,3.0,4.5,3.0,3.5,3.0,1.5,4.0,4.5
1223,English Springer Spaniel/Labrador Retriever,3.5,3.5,4.5,5.0,3.5,5.0,4.5,2.0,5.0,3.0,3.0,4.0
1224,Papillon/Shih Tzu,3.5,1.0,4.5,4.5,4.0,4.0,4.0,1.0,3.5,3.5,4.0,4.0
1225,Boxer/Border Collie,5.0,4.0,4.5,4.0,3.0,2.0,2.5,4.0,4.0,2.0,4.0,3.5
1227,Dachshund/Bull Terrier,4.0,2.5,4.0,3.0,2.0,2.5,2.0,3.0,1.5,1.5,3.0,5.0
1229,Collie Rough/Keeshond,3.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0
1230,Pug/Boxer,4.0,2.5,4.5,4.5,3.0,3.0,2.5,3.0,3.0,1.5,5.0,4.0
1231,Soft Coated Wheaten Terrier/Miniature Poodle,3.5,3.0,4.5,4.5,3.5,3.0,4.0,1.5,4.0,4.5,4.0,4.5
1232,Golden Retriever/Collie Rough,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
1233,Weimaraner/Plott Hound,4.0,3.5,3.5,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.5
1234,Jindo/Shiba Inu,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0
1235,Chinese Sharpei/American Staffordshire Terrier,3.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0
1236,Border Collie/Siberian Husky,4.0,4.5,4.0,3.5,3.0,2.0,3.5,2.0,3.0,3.0,4.0,3.5
1237,Miniature Schnauzer/Cairn Terrier,3.5,3.0,3.5,3.5,3.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0
1238,Bull Terrier/Jack Russell Terrier,4.5,3.5,5.0,3.0,1.5,2.0,3.0,3.0,2.0,2.0,3.0,5.0
1239,Mastiff/Akita,2.0,2.5,2.0,3.5,2.0,3.0,1.5,4.0,3.0,1.5,4.5,5.0
1240,Boxer/Bullmastiff,3.0,2.5,3.0,4.0,2.5,3.5,2.0,5.0,2.0,1.0,5.0,4.0
1241,Miniature Poodle/Pomeranian,4.0,2.0,4.5,2.5,2.5,3.0,2.5,1.0,3.0,4.0,3.0,5.0
1242,Rat Terrier/Pug,3.5,2.5,4.5,4.0,3.0,3.0,2.0,1.5,3.5,1.5,3.5,5.0
1243,Jack Russell Terrier/Basenji,4.5,3.5,4.0,3.0,2.0,1.0,3.0,1.5,2.5,2.0,3.0,5.0
1244,German Shepherd/Greyhound,2.5,3.5,2.5,3.0,2.0,2.5,2.5,3.5,4.0,1.5,3.5,3.5
1245,Pembroke Welsh Corgi/Chinese Sharpei,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
1246,Pekingese/Tibetan Terrier,2.0,2.0,2.0,3.0,3.0,3.5,2.0,1.0,2.0,4.5,4.0,4.5
1247,French Bulldog/Dachshund,2.666666667,1.333333333,3.333333333,3.666666667,2.333333333,3.333333333,2.0,1.6666666669999999,2.0,1.6666666669999999,4.333333333,3.0
1248,Staffordshire/Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
1249,Labrador Retriever/Akita,3.5,3.0,4.0,4.0,2.5,3.5,3.0,3.0,4.0,2.0,4.0,4.5
1250,Queensland Heeler/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1251,Dachshund/Swedish Vallhund,4.0,3.0,3.5,4.0,3.0,2.5,2.0,2.0,3.0,2.0,3.0,5.0
1252,Chihuahua Longhair/Norfolk Terrier,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
1253,Plott Hound/Rottweiler,3.0,3.0,2.5,2.5,1.5,2.0,1.5,4.5,2.5,1.0,3.5,4.5
1254,Leonberger/German Shepherd,2.5,3.5,2.5,3.5,2.0,3.5,3.0,4.5,4.5,3.0,3.5,5.0
1255,Great Dane/German Shepherd,2.5,3.0,2.0,3.5,1.5,2.5,3.0,4.0,4.0,1.5,3.5,4.5
1256,Cavalier Span/Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
1257,English Bulldog/Beagle,2.0,2.0,4.0,5.0,3.0,4.5,4.5,1.5,1.5,1.5,4.0,2.5
1258,Catahoula/Harrier,4.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0
1259,Australian Cattle Dog/Bull Terrier,4.5,4.0,4.5,3.5,2.0,2.5,2.5,4.0,3.0,1.5,3.0,5.0
1260,Catahoula/Siberian Husky,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
1261,Pug/Miniature Pinscher,4.0,2.0,4.5,3.5,2.5,2.0,1.5,1.0,2.0,1.5,4.0,5.0
1262,Smooth Fox Terrier/Labrador Retriever,4.0,3.0,4.5,4.5,3.5,3.5,4.5,1.5,4.5,1.5,3.0,4.5
1263,Border Terrier/West Highland,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
1264,Beagle/Treeing Walker Coonhound,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1265,Labrador Retriever/St. Bernard Rough Coat,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1266,Papillon/Miniature Poodle,4.0,2.0,5.0,4.5,4.0,3.5,4.0,1.0,5.0,4.0,3.0,5.0
1270,Chihuahua Shorthair/Norfolk Terrier,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0
1271,Silky Terrier/Yorkshire Terrier,4.0,1.5,4.0,3.0,2.5,2.5,3.0,1.0,2.5,3.5,3.5,5.0
1272,Cardigan Welsh Corgi/American Eskimo,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1273,Great Pyrenees/Kuvasz,2.0,3.5,2.5,2.0,1.5,3.5,1.5,4.5,1.0,3.0,4.5,5.0
1274,Collie Rough/Pembroke Welsh Corgi,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0
1275,Chihuahua Shorthair/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1276,Chihuahua Shorthair/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
1277,Anatol Shepherd/Akita,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0
1278,Plott Hound/German Shepherd,3.0,3.5,2.5,3.0,1.5,2.5,2.0,4.5,3.5,1.5,3.0,4.5
1279,Beagle/Black Mouth Cur,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
1280,Pekingese/Shih Tzu,2.0,1.0,2.5,3.0,3.5,4.0,3.0,1.0,1.5,4.5,5.0,4.0
1281,Australian Shepherd/Catahoula,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
1282,Cocker Spaniel/Shetland Sheepdog,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0
1283,Chihuahua Shorthair/Swedish Vallhund,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,5.0
1284,Chinese Sharpei/American Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
1285,Siberian Husky/Australian Shepherd,3.5,4.5,4.5,4.0,3.0,3.0,3.5,2.5,3.0,3.0,4.0,4.0
1286,Rottweiler/Beagle,3.0,3.0,3.0,3.5,3.0,3.5,3.0,3.0,2.0,1.0,3.5,4.5
1287,Miniature Schnauzer/Cocker Spaniel,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
1289,Shih Tzu/Chihuahua Shorthair,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1290,American Pit Bull Terrier/Pointer,4.0,3.5,4.5,3.5,2.5,3.5,3.0,3.5,2.0,1.0,3.0,4.5
1292,Dachshund/Wire Hair Fox Terrier,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1293,Greyhound/Saluki,2.0,3.0,3.0,3.0,3.0,2.5,2.0,2.0,3.0,1.5,3.5,2.5
1294,Golden Retriever/Whippet,3.0,3.0,4.0,4.5,5.0,4.5,4.0,1.5,4.0,2.0,3.0,3.5
1295,Chihuahua Shorthair/Shih Tzu,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0
1296,Rhod Ridgeback/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
1297,Norfolk Terrier/Dachshund,4.0,2.5,3.0,2.0,3.0,2.5,2.0,1.5,2.0,2.5,3.0,5.0
1298,Rat Terrier/Border Collie,4.5,4.0,4.5,3.5,3.0,2.0,2.0,2.5,4.5,2.0,2.5,4.5
1299,Dachshund Longhair/Maltese,4.0,1.5,3.5,3.0,3.0,2.5,1.0,1.5,2.5,2.5,3.5,5.0
1300,Beagle/Boston Terrier,3.0,2.0,3.5,4.0,4.0,4.5,4.0,1.0,2.0,1.0,4.0,4.5
1301,Treeing Walker Coonhound/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
1302,Golden Retriever/Australian Cattle Dog,4.0,4.0,4.5,4.5,4.0,3.5,3.5,3.0,5.0,2.5,3.0,4.0
1303,Beagle/Plott Hound,3.0,3.0,3.5,4.0,3.5,3.5,3.5,2.5,1.5,1.0,3.0,4.0
1304,English Coonhound/Beagle,3.0,3.0,3.5,4.0,4.5,4.0,4.0,1.5,1.0,1.0,3.0,3.5
1305,Miniature Schnauzer/Dachshund Longhair,3.5,2.5,3.5,3.5,3.0,2.5,2.0,1.5,2.5,2.5,3.0,5.0
1306,Pointer/Basset Hound,3.0,3.0,3.0,4.0,3.5,3.5,3.0,2.0,2.5,1.5,3.0,3.5
1307,Italian Greyhound/Chihuahua Shorthair,3.0,2.5,3.0,4.0,3.5,3.0,2.5,1.5,3.0,1.0,3.0,2.5
1308,Australian Cattle Dog/Chinese Crested,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
1309,Jack Russell Terrier/Standard Schnauzer,4.5,3.5,4.0,2.5,2.0,2.0,2.0,3.5,3.0,3.5,3.0,5.0
1310,Yorkshire Terrier/Australian Terrier,3.5,2.0,3.5,3.0,2.5,2.5,2.5,1.0,2.0,3.5,3.5,5.0
1311,Yorkshire Terrier/Havanese,4.0,2.0,4.5,4.0,3.0,3.0,4.0,1.0,3.0,3.5,3.5,4.5
1313,Dachshund Longhair/Golden Retriever,3.5,2.5,4.0,4.0,4.0,3.5,3.0,2.0,3.5,2.5,3.0,4.0
1314,Lhasa Apso/Toy Poodle,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
1315,Airedale Terrier/Irish Terrier,3.5,3.0,4.5,2.5,1.0,1.5,2.5,4.0,2.0,4.0,3.0,4.5
1316,Great Dane/Staffordshire,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
1317,Cairn Terrier/Dachshund Wirehair,4.0,2.5,3.0,3.0,3.0,1.5,1.0,1.5,1.5,2.5,3.0,5.0
1318,Chihuahua Shorthair/Pekingese,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0
1319,Black/Tan Hound/Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
1320,West Highland/Maltese,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
1321,Yorkshire Terrier/Standard Poodle,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
1322,Toy Fox Terrier/Yorkshire Terrier,4.0,1.5,4.5,4.0,2.5,2.5,2.5,1.5,3.0,2.5,3.5,5.0
1323,Smooth Fox Terrier/Basenji,4.0,3.0,3.5,3.5,2.5,1.5,3.5,1.0,3.0,1.0,3.0,5.0
1324,Jack Russell Terrier/Australian Shepherd,4.5,4.5,5.0,3.5,2.5,2.0,2.5,3.0,4.0,3.0,3.0,5.0
1325,Australian Shepherd/Field Spaniel,3.5,4.0,4.0,4.5,3.0,4.0,2.5,3.0,4.5,3.0,3.0,4.5
1326,Mastiff/Anatol Shepherd,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
1327,Rhod Ridgeback/Boxer,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
1328,Greyhound/Great Dane,2.0,2.5,2.5,3.5,2.5,2.0,3.5,2.5,3.0,1.0,4.0,3.0
1329,Golden Retriever/Bearded Collie,3.5,3.5,4.5,4.5,4.0,4.0,4.0,2.0,4.0,3.5,3.0,3.5
1330,Chinese Crested/Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
1331,Australian Shepherd/Collie Smooth,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
1332,Catahoula/Rottweiler,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
1333,Bullmastiff/Boxer,3.0,2.5,3.0,4.0,2.5,3.5,2.0,5.0,2.0,1.0,5.0,4.0
1334,Norfolk Terrier/Border Terrier,3.5,3.0,3.0,2.0,3.0,2.5,3.0,1.0,3.0,3.0,3.0,4.5
1335,Miniature Pinscher/Yorkshire Terrier,4.5,1.5,4.5,3.0,2.0,1.5,2.0,1.0,1.5,2.5,3.5,5.0
1336,Jack Russell Terrier/Basset Hound,3.5,3.0,3.5,3.5,2.5,2.0,3.0,1.5,2.5,2.5,3.0,4.0
1338,Australian Shepherd/German Shepherd,3.5,4.5,3.5,3.5,2.0,3.0,2.0,4.5,5.0,2.5,3.0,5.0
1339,Staffordshire/Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
1340,Australian Cattle Dog/Siberian Husky,4.0,4.5,4.0,4.0,3.0,2.5,3.5,2.5,3.0,2.5,4.0,4.0
1341,American Staffordshire Terrier/Boxer,4.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,3.5,1.0,4.0,4.0
1342,Chihuahua Longhair/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
1343,Yorkshire Terrier/Toy Poodle,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
